iceworkkey	distareacodekey	DistDate	amount	title	artist	ISRC
14026	20	2013.1	5.42	ARMOTONTA MENOA	SEPI KUMPULAINEN	FI9PF1600001,FIBBA9300802,FIFMF9100195,FIKFP9700022,FIPT61300500
14026	16	2013.2	14.27	ARMOTONTA MENOA	SEPI KUMPULAINEN	FI9PF1600001,FIBBA9300802,FIFMF9100195,FIKFP9700022,FIPT61300500
14026	16	2013.3	6.96	ARMOTONTA MENOA	SEPI KUMPULAINEN	FI9PF1600001,FIBBA9300802,FIFMF9100195,FIKFP9700022,FIPT61300500
14026	20	2013.3	222.86	ARMOTONTA MENOA	SEPI KUMPULAINEN	FI9PF1600001,FIBBA9300802,FIFMF9100195,FIKFP9700022,FIPT61300500
14026	09	2013.4	1.4	ARMOTONTA MENOA	SEPI KUMPULAINEN	FI9PF1600001,FIBBA9300802,FIFMF9100195,FIKFP9700022,FIPT61300500
14026	20	2014.1	2.38	ARMOTONTA MENOA	SEPI KUMPULAINEN	FI9PF1600001,FIBBA9300802,FIFMF9100195,FIKFP9700022,FIPT61300500
14026	20	2014.3	315.86	ARMOTONTA MENOA	SEPI KUMPULAINEN	FI9PF1600001,FIBBA9300802,FIFMF9100195,FIKFP9700022,FIPT61300500
14026	96	2014.3	85.92	ARMOTONTA MENOA	SEPI KUMPULAINEN	FI9PF1600001,FIBBA9300802,FIFMF9100195,FIKFP9700022,FIPT61300500
14026	16	2015.2	6.14	ARMOTONTA MENOA	SEPI KUMPULAINEN	FI9PF1600001,FIBBA9300802,FIFMF9100195,FIKFP9700022,FIPT61300500
14026	20	2015.3	156.77	ARMOTONTA MENOA	SEPI KUMPULAINEN	FI9PF1600001,FIBBA9300802,FIFMF9100195,FIKFP9700022,FIPT61300500
14026	96	2015.3	66.19	ARMOTONTA MENOA	SEPI KUMPULAINEN	FI9PF1600001,FIBBA9300802,FIFMF9100195,FIKFP9700022,FIPT61300500
14026	16	2016.3	0.05	ARMOTONTA MENOA	SEPI KUMPULAINEN	FI9PF1600001,FIBBA9300802,FIFMF9100195,FIKFP9700022,FIPT61300500
14026	19	2016.4	0	ARMOTONTA MENOA	SEPI KUMPULAINEN	FI9PF1600001,FIBBA9300802,FIFMF9100195,FIKFP9700022,FIPT61300500
14026	16	2016.4	0.2	ARMOTONTA MENOA	SEPI KUMPULAINEN	FI9PF1600001,FIBBA9300802,FIFMF9100195,FIKFP9700022,FIPT61300500
14026	16	2017.1	0.14	ARMOTONTA MENOA	SEPI KUMPULAINEN	FI9PF1600001,FIBBA9300802,FIFMF9100195,FIKFP9700022,FIPT61300500
14026	16	2017.2	0.1	ARMOTONTA MENOA	SEPI KUMPULAINEN	FI9PF1600001,FIBBA9300802,FIFMF9100195,FIKFP9700022,FIPT61300500
14026	16	2017.3	9.37	ARMOTONTA MENOA	SEPI KUMPULAINEN	FI9PF1600001,FIBBA9300802,FIFMF9100195,FIKFP9700022,FIPT61300500
14026	19	2017.4	2.1	ARMOTONTA MENOA	SEPI KUMPULAINEN	FI9PF1600001,FIBBA9300802,FIFMF9100195,FIKFP9700022,FIPT61300500
14026	16	2017.4	5.02	ARMOTONTA MENOA	SEPI KUMPULAINEN	FI9PF1600001,FIBBA9300802,FIFMF9100195,FIKFP9700022,FIPT61300500
14026	10	2017.4	3.95	ARMOTONTA MENOA	SEPI KUMPULAINEN	FI9PF1600001,FIBBA9300802,FIFMF9100195,FIKFP9700022,FIPT61300500
33247	16	2016.4	0.01	KUTSKUAA PUTKIMIES	Sepi Kumpulainen	FI9PF1600016
33247	16	2017.3	0.03	KUTSKUAA PUTKIMIES	Sepi Kumpulainen	FI9PF1600016
33247	19	2017.4	0	KUTSKUAA PUTKIMIES	Sepi Kumpulainen	FI9PF1600016
33252	10	2017.4	80.23	ILOINNEN VESSELI	NA	NA
33252	17	2017.4	0.22	ILOINNEN VESSELI	NA	NA
33252	09	2017.4	2.52	ILOINNEN VESSELI	NA	NA
33665	20	2013.3	0.61	SIMO GOES POING	NA	NA
33665	20	2014.1	11.02	SIMO GOES POING	NA	NA
33665	20	2014.3	198.66	SIMO GOES POING	NA	NA
33665	96	2014.3	13.71	SIMO GOES POING	NA	NA
33665	96	2015.3	37.83	SIMO GOES POING	NA	NA
33665	20	2015.3	514	SIMO GOES POING	NA	NA
685941	20	2014.3	2.84	EXIT	NA	NA
685941	16	2014.4	0.05	EXIT	NA	NA
685941	16	2015.2	0.02	EXIT	NA	NA
685941	16	2015.3	0.04	EXIT	NA	NA
685941	16	2015.4	0.03	EXIT	NA	NA
685941	16	2016.1	0.01	EXIT	NA	NA
685941	17	2016.4	0	EXIT	NA	NA
685941	19	2016.4	0	EXIT	NA	NA
685941	16	2016.4	0	EXIT	NA	NA
685941	16	2017.1	0.01	EXIT	NA	NA
685941	16	2017.2	0.01	EXIT	NA	NA
685941	16	2017.4	0.01	EXIT	NA	NA
685941	19	2017.4	0	EXIT	NA	NA
685979	16	2013.2	0	REQUIEM (HOLY,HOLY,HOLY)	VARIOUS ARTISTS	SEYNI1000216
685979	20	2013.3	0.02	REQUIEM (HOLY,HOLY,HOLY)	VARIOUS ARTISTS	SEYNI1000216
685979	20	2013.4	0.04	REQUIEM (HOLY,HOLY,HOLY)	VARIOUS ARTISTS	SEYNI1000216
685979	16	2014.4	0.07	REQUIEM (HOLY,HOLY,HOLY)	VARIOUS ARTISTS	SEYNI1000216
685979	96	2014.4	0.07	REQUIEM (HOLY,HOLY,HOLY)	VARIOUS ARTISTS	SEYNI1000216
685979	16	2015.2	0.07	REQUIEM (HOLY,HOLY,HOLY)	VARIOUS ARTISTS	SEYNI1000216
685979	16	2015.3	0.23	REQUIEM (HOLY,HOLY,HOLY)	VARIOUS ARTISTS	SEYNI1000216
685979	16	2015.4	0.09	REQUIEM (HOLY,HOLY,HOLY)	VARIOUS ARTISTS	SEYNI1000216
685979	09	2016.2	0.7	REQUIEM (HOLY,HOLY,HOLY)	VARIOUS ARTISTS	SEYNI1000216
685979	17	2016.2	0.26	REQUIEM (HOLY,HOLY,HOLY)	VARIOUS ARTISTS	SEYNI1000216
685979	16	2016.1	0.08	REQUIEM (HOLY,HOLY,HOLY)	VARIOUS ARTISTS	SEYNI1000216
685979	16	2016.2	0.07	REQUIEM (HOLY,HOLY,HOLY)	VARIOUS ARTISTS	SEYNI1000216
685979	16	2016.3	0.08	REQUIEM (HOLY,HOLY,HOLY)	VARIOUS ARTISTS	SEYNI1000216
685979	96	2016.4	0.08	REQUIEM (HOLY,HOLY,HOLY)	VARIOUS ARTISTS	SEYNI1000216
685979	17	2016.4	0	REQUIEM (HOLY,HOLY,HOLY)	VARIOUS ARTISTS	SEYNI1000216
685979	19	2016.4	0	REQUIEM (HOLY,HOLY,HOLY)	VARIOUS ARTISTS	SEYNI1000216
685979	16	2016.4	0.04	REQUIEM (HOLY,HOLY,HOLY)	VARIOUS ARTISTS	SEYNI1000216
685979	96	2017.1	0.1	REQUIEM (HOLY,HOLY,HOLY)	VARIOUS ARTISTS	SEYNI1000216
